unit,time,treated,log_gdp_pc,Y_resid,trade_openness,inv_share,log_pop,log_emp,log_gdp_emp
Cyprus,1990,0,10.122795037259934,-0.41005654047815376,-0.268716931343078,0.382007420063019,-0.5457621936468869,-1.483076678541245,11.060109522154292
Cyprus,1991,0,10.091487628055141,-0.33775532297034694,-0.254098057746887,0.361782193183899,-0.5193619547882771,-1.4808422794963547,11.05296795276322
Cyprus,1992,0,10.165224158546115,-0.5996609133953541,-0.374375894665718,0.43441453576088,-0.49331319868135953,-1.441641649458193,11.113552609322948
Cyprus,1993,0,10.132076884022366,-0.29190202246882535,-0.296280294656753,0.361878931522369,-0.4687244477473553,-1.4436832470978265,11.107035683372837
Cyprus,1994,0,10.182299965271808,-0.3182019295987484,-0.316745623946189,0.379342764616013,-0.44785082460460224,-1.4281396177092647,11.16258875837647
Cyprus,1995,0,10.233092435414225,-0.036653861683767275,-0.318772822618485,0.325867533683777,-0.42970657248119876,-1.3922709211711242,11.19565678410415
Cyprus,1996,0,10.225826275675294,0.10512669308580946,-0.3426358550786981,0.293995171785355,-0.41415273650572987,-1.3873523666133307,11.199025905782895
Cyprus,1997,0,10.232919203228109,0.13797696218422395,-0.325950801372528,0.289164692163467,-0.39988072981426376,-1.3811818106836724,11.214220284097516
Cyprus,1998,0,10.277750831428762,0.403409689369143,-0.36924222111702,0.239750519394875,-0.38728143767453577,-1.365331537700198,11.255800931454424
Cyprus,1999,0,10.322633062239309,0.41091949983218434,-0.342273160815239,0.247087314724922,-0.3762947308083845,-1.3472331397893078,11.29357147122023
Cyprus,2000,0,10.379443420033343,0.5053465263005563,-0.322178311645985,0.237954944372177,-0.36585985351580497,-1.3309710490547708,11.34455461557231
Cyprus,2001,0,10.425615703059607,0.6193758519025003,-0.338457740843296,0.221522137522697,-0.35481952343927226,-1.3092755537135803,11.380071733333915
Cyprus,2002,0,10.426292354714962,0.453004486206229,-0.3797897845506665,0.257352918386459,-0.3430538479867673,-1.2882851140641987,11.371523620792392
Cyprus,2003,0,10.409836725861231,0.46963648646458545,-0.3961811438202856,0.247100979089737,-0.33151414828023257,-1.2535922042088545,11.331914781789854
Cyprus,2004,0,10.467353604561493,0.25901915712775647,-0.46870085597038297,0.303338080644608,-0.31748170369030043,-1.2140030016384684,11.363874902509663
Cyprus,2005,0,10.499429195693917,0.1781295945495902,-0.46718755364417996,0.325682550668716,-0.30308001463187767,-1.1783166929054774,11.374665873967515
Cyprus,2006,0,10.554219844983177,0.08474352362986437,-0.505752250552178,0.358212649822235,-0.286396232831324,-1.159954248839743,11.427777860991597
Cyprus,2007,0,10.608027623253369,0.09022872277670224,-0.5743132680654519,0.366076916456223,-0.26510551827287604,-1.1166203168128461,11.459542421793339
Cyprus,2008,0,10.679287947871696,-0.050607769957666804,-0.6082174554467199,0.411762267351151,-0.23999473839821503,-1.081996383941044,11.521289593414526
Cyprus,2009,0,10.660505681721396,0.33764738650168447,-0.4400220513343812,0.324531733989716,-0.21314990456750543,-1.0816825100257506,11.52903828717964
Cyprus,2010,0,10.65855937780684,0.269571774933846,-0.47109180688858,0.341439217329025,-0.18699727092820403,-1.075506179040739,11.547068285919377
Cyprus,2011,0,10.585098783822755,0.47769294951616814,-0.475692421197891,0.281580299139023,-0.16148299567431784,-1.0727520430230515,11.496367831171488
Cyprus,2012,0,10.54757276696158,0.6010360632646989,-0.39561925828456906,0.252062350511551,-0.14624616961170764,-1.108883868924131,11.510210466274003
Cyprus,2013,0,10.433063334606247,0.7440797743705261,-0.34556119143962805,0.20170234143734,-0.14858121811238975,-1.1664112002837748,11.450893316777632
Czechia,1990,0,10.221042615571369,0.21360289375320285,-0.01584829390049,0.208352610468864,2.3323368863203506,1.68526707889609,10.86811242299563
Czechia,1991,0,10.04513390704047,0.1983796320335287,0.023235209286213296,0.175817251205444,2.3325735116750943,1.6601056869756299,10.717601731739933
Czechia,1992,0,10.009008848503138,0.12361526614078144,0.011459589004515991,0.189320579171181,2.333351709223844,1.6204258312328401,10.721934726494142
Czechia,1993,0,10.031497706348793,0.14490421162808964,-0.0005312412977220016,0.190063774585724,2.334122325201245,1.6172417224875404,10.748378309062497
Czechia,1994,0,10.070521938065008,0.07876974850284135,-0.007137224078178989,0.212125197052956,2.3343094128864745,1.6277310809913004,10.777100269960183
Czechia,1995,0,10.109441928671341,-0.029459890654010223,-0.02160248160362299,0.243919804692268,2.33331233855334,1.6336620449136987,10.809092222310982
Czechia,1996,0,10.158427206604838,-0.07139606858338787,-0.04396450519561798,0.263281673192978,2.3317679022289806,1.6387775492653152,10.851417559568503
Czechia,1997,0,10.137000943856629,-0.011809479063639827,-0.03986382484436002,0.246048286557198,2.3302052211042072,1.6313112148784485,10.835894950082388
Czechia,1998,0,10.132393842680756,0.0020556904701294343,-0.019820719957350963,0.243996039032936,2.3287815498533315,1.6132335715016413,10.847941821032446
Czechia,1999,0,10.12651844191782,0.0257110129778102,-0.01896443963050798,0.239972665905952,2.3274121355726916,1.591265364527728,10.862665212962783
Czechia,2000,0,10.14326574339064,0.008703045980736235,-0.020922273397445013,0.24835716187954,2.325989461520094,1.5825709204959353,10.886684284414798
Czechia,2001,0,10.197310209999191,0.07254940554104294,-0.019348740577696977,0.245937138795853,2.3255138093703493,1.584141525212723,10.938682494156819
Czechia,2002,0,10.204578517899385,0.08287683538151391,-0.03187787532806402,0.244210094213486,2.3262496651367512,1.5934197049164704,10.937408478119666
Czechia,2003,0,10.230611545645651,0.08297786245798555,-0.034140884876251,0.250937730073929,2.3271715536090323,1.5862855820968775,10.971497517157806
Czechia,2004,0,10.276811928898772,0.059070676385305276,-0.03287640213966403,0.26677080988884,2.3283941552931733,1.5850948223794046,11.02011126181254
Czechia,2005,0,10.296494434070812,0.046887890106365404,-0.015379786491394043,0.271800458431244,2.3302151431847467,1.6034858045639193,11.02322377269164
Czechia,2006,0,10.350943838650563,0.02688284286633369,-0.01740086078643799,0.287047535181046,2.3325892329512317,1.616069185728712,11.067463885873083
Czechia,2007,0,10.440239427208313,0.005280043998743267,-0.02050304412841808,0.309758722782135,2.335782219954218,1.6344818806472756,11.141539766515255
Czechia,2008,0,10.433955875570218,-0.08642709510289137,-0.05192029476165705,0.327301234006882,2.3397163169922,1.6496523005239503,11.124019892038469
