COUNTRY,DATE,PIGT,NETD,SC,Within_SP,Total_Trade,EU_Distance,estimate_cc,estimate_ge,estimate_pv,estimate_rl,estimate_rq,estimate_va
Bulgaria,2007,71.7875422,3726.74,-3.9744415142475766e-05,0.0008962376636198887,40.104479999999995,-0.8282620525730808,-0.2317924052476883,-0.1210842877626419,0.3576354682445526,-0.05768442526459694,0.6433606147766113,0.6909353137016296
Bulgaria,2008,78.7257017,3814.65,-4.5005953583600944e-05,0.0007232886155240394,46.44242,-0.8075903106773941,-0.2747873365879059,-0.17257727682590485,0.3698607087135315,-0.12108802050352097,0.7341217994689941,0.5779763460159302
Bulgaria,2009,80.9217544,3749.3,5.942815666637325e-05,0.0004263587175155489,34.68342,-0.7963975840262432,-0.22926756739616394,0.07148142158985138,0.35367897152900696,-0.040312353521585464,0.6947851777076721,0.5604711771011353
Bulgaria,2010,80.2822699,3603.89,0.00016359347849115375,0.0007534193374288384,39.58441,-0.7974862004823257,-0.23702354729175568,-0.06532546132802963,0.36009106040000916,-0.09706135839223862,0.6804325580596924,0.5314825773239136
Bulgaria,2011,85.4679959,3524.55,0.00016211911639087693,0.0010522600687430266,48.70487,-0.7818858788030771,-0.2692643702030182,-0.07111138850450516,0.3017503023147583,-0.14156416058540344,0.5525200366973877,0.45008015632629395
Bulgaria,2012,86.6707789,3436.39,1.7819127635367365e-06,0.0003428009858710756,52.3844,-0.7761213332866308,-0.28146079182624817,-0.028386928141117096,0.37983399629592896,-0.11505135893821716,0.5747108459472656,0.40091559290885925
Bulgaria,2013,86.0394344,3421.58,6.55692050737449e-05,-0.0001514574396258116,54.54208,-0.7762181067293515,-0.3278925120830536,-0.013232986442744732,0.17071038484573364,-0.14725562930107117,0.5491098165512085,0.3372553884983063
Bulgaria,2014,84.5735657,3434.17,3.911167362493658e-05,0.00016912470830154178,56.03896,-0.7733369455569091,-0.3031664490699768,-0.11237889528274536,0.07854089885950089,-0.08202914893627167,0.5852736234664917,0.3664722144603729
Bulgaria,2015,86.8582183,3446.21,-2.655068874931314e-05,0.0004866224134057359,58.04262,-0.7638810770559205,-0.3464406430721283,-0.012558597140014172,0.010424641892313957,-0.159493550658226,0.57826828956604,0.4326394200325012
Bulgaria,2016,87.3956079,3463.35,4.323832291275351e-06,0.0008108173232111583,59.87032,-0.7515375339585597,-0.26085567474365234,0.08883263915777206,0.06827937066555023,-0.1404438018798828,0.7012900710105896,0.4023781716823578
