country,year,log_gdp_pc,log_gdp_emp,trade_openness,gdp_pc,csh_i,inv_share,pop,emp,log_pop,log_emp,rgdpe
Albania,1990,8.269891354844878,9.243432011847434,0.0023890361189842987,3904.5247614107343,0.1226951405406,0.1226951405406,3.277966,1.23822939395905,1.1872231080896891,0.21368245108713305,12798.8994140625
Albania,1991,8.053666871002541,9.030484398662413,-0.0526551157236098,3145.307287385891,0.0293099619448185,0.0293099619448185,3.282602,1.23592400550842,1.1886364005886496,0.2118188729287784,10324.7919921875
Albania,1992,7.803292401058944,8.994057574335237,-0.197616148740053,2448.650660635747,0.0230943523347378,0.0230943523347378,3.282501,0.997842788696289,1.188605631840617,-0.002159541435676594,8037.6982421875
Albania,1993,8.011091948268849,9.24567690708618,-0.1418609544634818,3014.2066743000314,0.0627724006772041,0.0627724006772041,3.277825,0.953701198101044,1.1871800926854392,-0.04740486613189185,9880.0419921875
Albania,1994,8.19958877560134,9.343833655752169,-0.084953524172306,3639.4533675418497,0.0895929932594299,0.0895929932594299,3.26941,1.04119038581848,1.1846095404954915,0.04036466034466217,11898.865234375
Albania,1995,8.284498246064885,9.464368427036096,-0.10206191241741179,3961.976302581779,0.0896837562322617,0.0896837562322617,3.258567,1.00141835212708,1.181287528187013,0.0014173472158016903,12910.365234375
Albania,1996,8.432923350656266,9.6261479667157,-0.1157062072306872,4595.915947684891,0.0911869779229164,0.0911869779229164,3.245678,0.984225392341614,1.1773242651576805,-0.015900350901754182,14916.86328125
Albania,1997,8.230121613472024,9.424333722713413,-0.09983026422560179,3752.2900533647503,0.0920959711074829,0.0920959711074829,3.22966,0.97840142250061,1.1723768685361153,-0.02183524070527428,12118.62109375
Albania,1998,8.195308020328342,9.403794669487315,-0.1537512280046939,3623.9070570635236,0.115496300160885,0.115496300160885,3.210133,0.958702683448792,1.1663123693054074,-0.04217427985356562,11633.2236328125
Albania,1999,8.336531377020236,9.55726855237827,-0.1751576811075212,4173.58800221963,0.146489948034287,0.146489948034287,3.188595,0.940675735473633,1.159580380903591,-0.06115679445444217,13307.8818359375
Albania,2000,8.44467547455223,9.655883255400715,-0.1648448407649994,4650.2463447894725,0.201741993427277,0.201741993427277,3.166148,0.942997097969055,1.1525157070497407,-0.05869207379874369,14723.3681640625
Albania,2001,8.541258633395552,9.737589905223409,-0.1967118605971332,5121.786758349023,0.240735232830048,0.240735232830048,3.147943,0.95162707567215,1.1467492236567933,-0.049582048171064444,16123.0927734375
Albania,2002,8.615397782326859,9.809817490844393,-0.20833235979080178,5515.942321771346,0.251809477806091,0.251809477806091,3.134092,0.949252724647522,1.142339498959252,-0.05208020955828257,17287.470703125
Albania,2003,8.718769991763176,9.902948900876128,-0.20686230808496442,6116.650928189005,0.259292393922806,0.259292393922806,3.118088,0.954126596450806,1.1372199934573302,-0.04695891565562062,19072.255859375
Albania,2004,8.814297422489075,9.98891219754937,-0.2213639393448828,6729.777912656999,0.28633925318718,0.28633925318718,3.098657,0.957292795181274,1.1309687918152374,-0.04364598324505838,20853.2734375
Albania,2005,8.896157963039862,10.064582504067081,-0.2275014743208888,7303.857871130848,0.293757319450378,0.293757319450378,3.076159,0.956243395805359,1.1236817408146416,-0.04474280021257738,22467.828125
Albania,2006,8.987772140936016,10.146672577725768,-0.2290524691343312,8004.603886419963,0.318196386098862,0.318196386098862,3.050809,0.95743864774704,1.1154068013494847,-0.0434936354402664,24420.517578125
Albania,2007,9.078678832582918,10.225753294231739,-0.270100101828575,8766.376521848155,0.31713005900383,0.31713005900383,3.022887,0.959961473941803,1.106212335012661,-0.04086212663615962,26499.765625
Albania,2008,9.175824359750534,10.35542380651862,-0.2789899259805682,9660.728705858473,0.318625867366791,0.318625867366791,2.99293,0.920032203197479,1.0962528406919485,-0.08334660607613772,28913.884765625
Albania,2009,9.259237238918594,10.423270211564441,-0.240870781242847,10501.120438892189,0.30174058675766,0.30174058675766,2.961479,0.924646139144898,1.0856888057085599,-0.0783441669372867,31098.84765625
Albania,2010,9.275290563896096,10.440972033627801,-0.21818682551383953,10671.05872565747,0.273024380207062,0.273024380207062,2.928722,0.912912428379059,1.0745661504015085,-0.09111531933019644,31252.564453125
Albania,2011,9.328488210733477,10.443958312844932,-0.22447585314512197,11254.104783558601,0.26684507727623,0.26684507727623,2.911504,0.95427793264389,1.068669786156364,-0.04680031595509165,32766.37109375
Albania,2012,9.352715110065452,10.454994688676775,-0.19404114782810203,11530.086438455068,0.245835155248642,0.245835155248642,2.910004,0.966450572013855,1.068154455752903,-0.03412512285841964,33552.59765625
Albania,2013,9.319499588129567,10.464729053864081,-0.181018397212029,11153.399163365802,0.241026476025581,0.241026476025581,2.907573,0.925046980381012,1.0673187125761485,-0.07791075315836596,32429.322265625
Bosnia and Herzegovina,1990,7.490058252452072,8.205296131802045,-1.4344052076339762,1790.1563698045497,0.325114756822586,0.325114756822586,4.448652,2.17572784423828,1.492601128939895,0.7773632495899209,7963.78271484375
