country,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio,att_post_avg_pct,att_2004_2008_pct,att_2009_2013_pct,top_donors,top_weights
North Macedonia,-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055,-29.041018920610796,-20.612752075433693,-36.574486111301695,"Estonia, Latvia, Poland, Hungary, Lithuania","0.508, 0.285, 0.206, 0.000, 0.000"
Albania,-0.386134890441828,-0.2445499139432375,-0.5277198669404186,0.23091178192499262,0.44558598479726735,1.929680595258702,-32.03211626821487,-21.694309806786094,-41.0051401427044,"Poland, Estonia, Slovenia, Malta, Czechia","0.560, 0.440, 0.000, 0.000, 0.000"
Serbia,-0.28544972890036424,-0.22084116772630083,-0.3500582900744277,0.06207536412495714,0.3202357736580459,5.158822314975297,-24.8323872185941,-19.815597111334583,-29.535298540533695,"Lithuania, Czechia, Estonia, Poland, Cyprus","1.000, 0.000, 0.000, 0.000, 0.000"
Bosnia and Herzegovina,-0.2788935113600157,-0.09201964919388317,-0.4657673735261483,0.3448361013878398,0.35634851470406553,1.033385174202737,-24.337952958989607,-8.791277240975825,-37.23467241657361,"Poland, Estonia, Slovakia, Malta, Lithuania","1.000, 0.000, 0.000, 0.000, 0.000"
Montenegro,-0.3875938819158266,-0.33224141234987703,-0.4429463514817762,0.10153659047401413,0.4049182118637772,3.987904360127262,-32.131208526127786,-28.268586654030347,-35.785834388794235,"Estonia, Lithuania, Poland, Hungary, Czechia","0.673, 0.327, 0.000, 0.000, 0.000"
