outcome,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio,att_post_avg_pct,att_2004_2008_pct,att_2009_2013_pct
Log GDP per capita,-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055,-29.041018920610796,-20.612752075433693,-36.574486111301695
Log GDP per worker,-0.31708966532759036,-0.1850773440039628,-0.4491019866512179,0.05305695995762853,0.36113959287336495,6.806639377035025,-27.173454796229557,-16.89599945950898,-36.179899260894445
Trade openness,-0.04887718343905832,-0.007583276149060431,-0.09017109072905623,0.023073046604848834,0.06685958830428641,2.8977355894663592,,,
