dropped_1,dropped_2,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio
Poland,Hungary,-0.48474455337998423,-0.22793131452804688,-0.7415577922319215,0.09528716692162806,0.5768601555709492,6.053912338955423
Slovenia,Latvia,-0.4485560346183183,-0.35696853934981226,-0.5401435298868243,0.07305418475243439,0.4759466846410065,6.5149818077347925
Slovakia,Latvia,-0.44208754402784844,-0.27590060309045655,-0.6082744849652404,0.06558920280491974,0.4868808300684769,7.423185665430236
Poland,Lithuania,-0.44147002785087164,-0.23707816308313276,-0.6458618926186105,0.08001875282427251,0.5062027378179141,6.326051331112036
Poland,Cyprus,-0.436451147554893,-0.24603177832198247,-0.6268705167878036,0.07976023674099239,0.49267164340824043,6.176907987473841
Poland,Malta,-0.43072104328859756,-0.2700752390598925,-0.5913668475173026,0.07806572122598021,0.4742147178855361,6.074557570701311
Latvia,Lithuania,-0.4144218470150502,-0.25178544484206994,-0.5770582491880305,0.052951330177205914,0.46113771909604206,8.708708875731872
Czechia,Latvia,-0.41180694544460417,-0.2670286624614359,-0.5565852284277725,0.05034452996729878,0.45153714973236664,8.968941611445413
Slovenia,Poland,-0.4096598053828135,-0.31554751370616,-0.503772097059467,0.08312739385743405,0.4361006916950589,5.246173029831592
Czechia,Poland,-0.39630427793409095,-0.17672706416828135,-0.6158814916999006,0.07557565016937808,0.47045523587415017,6.224957837872103
Hungary,Latvia,-0.3892301527450913,-0.23645883710792362,-0.5420014683822589,0.04868752796811668,0.43077588278923956,8.847766579386322
Hungary,Lithuania,-0.3862583666072016,-0.26235886457743335,-0.5101578686369699,0.05279223670335371,0.4176318963983202,7.910858157896339
Latvia,Malta,-0.37852385860265086,-0.1800709245039048,-0.5769767927013969,0.04906064411924462,0.44431276988147694,9.056399031401831
Czechia,Lithuania,-0.36842156262110193,-0.24962331000356103,-0.4872198152386428,0.04855532688384912,0.40143899079360956,8.267661172458084
Slovakia,Lithuania,-0.360897132652288,-0.24298207879376968,-0.47881218651080637,0.05150512531066047,0.3933941098655276,7.637960445542365
Slovenia,Lithuania,-0.3558027128982385,-0.29618833064150074,-0.4154170951549762,0.06020421583879824,0.3766743289162763,6.256610499252294
Latvia,Cyprus,-0.3548015148128162,-0.13596236209429052,-0.5736406675313418,0.050220493189642064,0.43647182195448603,8.691109828537247
Lithuania,Malta,-0.35103723510778073,-0.16486952129197477,-0.5372049489235866,0.048942566822329545,0.41511240417582984,8.481623076345048
Lithuania,Cyprus,-0.34326640498965644,-0.13810598841150962,-0.5484268215678032,0.05211226043565922,0.4201292062974295,8.062003121437135
Malta,Cyprus,-0.33984163111178134,-0.18276538314595533,-0.4969178790776073,0.06216443480328894,0.3938053569753746,6.334898052584554
Poland,Latvia,-0.3263539408606418,-0.18850943204401,-0.4641984496772736,0.06469235236444926,0.36592407980186575,5.656373070813761
