spec,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio
"Baseline grid (1e-4 to 1e4, 60 pts)",-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055
"Narrow grid (1e-2 to 1e2, 40 pts)",-0.3453621724822657,-0.2332059328297415,-0.4575184121347899,0.06594523766840173,0.381617354447532,5.7868826914606375
"Wide grid (1e-6 to 1e6, 80 pts)",-0.2840740283515345,-0.20646002868571928,-0.36168802801734967,0.03708035938675934,0.3104547702372082,8.372485471326511
Fixed alpha = 0.01,-0.32630250292664853,-0.21609836363657492,-0.4365066422167221,0.03291059159203727,0.3567894559890094,10.84117418525332
Fixed alpha = 1.0,-0.30779794139679895,-0.19144105973384348,-0.42415482305975444,0.05336537299797022,0.34168988834148273,6.402838941170318
Fixed alpha = 100,-0.4198226109731028,-0.39086753567632293,-0.4487776862698826,0.27850331430882036,0.4261452695489759,1.530126385054225
