country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,inv_pre_avg,trade_open_pre_avg,gdp_emp,pop_growth_pre_avg
Estonia,9.450242592378835,9.548293923536436,9.27257178393534,9.254324154300656,9.239571602730624,9.346914149867755,9.410124911011431,9.49056687949462,9.530566473357515,9.547180491646516,9.625132768175815,9.68029485852043,9.752737727838328,9.8135839155678,0.19009164507899978,-0.06119494246585033,10.291066968534711,-0.010449046843517829
Czechia,10.221042615571369,10.04513390704047,10.009008848503138,10.031497706348793,10.070521938065008,10.10944192867134,10.158427206604838,10.137000943856629,10.132393842680756,10.12651844191782,10.14326574339064,10.197310209999191,10.204578517899384,10.230611545645653,0.22873857191630778,-0.017094836171184163,10.841029428575613,-0.0003973332854860277
Slovenia,10.078171769364548,9.94423107481521,9.88871024341595,9.951469087566602,10.018324497985446,10.07838796506334,10.11452696109854,10.142148702618188,10.157269730726368,10.190753415621526,10.20735628088529,10.231784058209882,10.259950306452756,10.270389393555984,0.24599689245223993,-0.061300022261483345,10.864030839104979,-0.00021269775958972974
Poland,9.247028327328188,9.188398536120443,9.248313435222936,9.313796230898848,9.382777317965411,9.468995977316746,9.533923511882236,9.59116894183925,9.643572653201735,9.69253209546486,9.715551911562684,9.738640773874824,9.766630431929128,9.762205737040182,0.16987354946987973,-0.03969984847520071,10.48101810854627,0.00029871727997973134
Hungary,9.653985198840273,9.543291389125915,9.558962563823677,9.606134904248831,9.664293996575072,9.705914391105456,9.736618340054868,9.767667740685184,9.794362120470536,9.826489043585244,9.86777773983177,9.969057335926706,10.022071051821309,10.024088113019417,0.1781895597066198,-0.03317572655422358,10.667755935879923,-0.002044755728274168
Slovakia,9.977013052913453,9.74755427520108,9.676194285693748,9.674914805551644,9.723344989764932,9.770673562433068,9.78029850999318,9.798919981964064,9.792321562575747,9.755731399919984,9.791108184319564,9.836713199084503,9.876972306166094,9.90345087688466,0.2040885921035494,-0.042679118258612446,10.715092687375721,0.0015919375325886575
Latvia,9.81337703615812,9.720634273846388,9.387846575135448,9.335420171137978,9.214462642699216,9.182641427780055,9.180360990135654,9.241958090545545,9.33348867728595,9.400878262231076,9.440762399213575,9.509519824277294,9.591174524607712,9.621104390040006,0.1623144357332161,-0.059690217886652165,10.315255676840257,-0.011559024515938744
Lithuania,9.695898805652448,9.560455027935186,9.38902925414841,9.224063888697328,9.188630590813633,9.234083665547754,9.304795460165714,9.389513602093096,9.460280857612885,9.489977972001586,9.552447935119948,9.630032368163018,9.699815043389362,9.784824223412269,0.12448924886328841,-0.05139323856149398,10.30767819933614,-0.006055762057972066
Malta,9.803255627339537,9.86075354241872,9.872942578209615,9.895897689299826,9.94655688162064,9.98903348869683,9.986947465004492,10.0789875534692,10.13479595072195,10.202192659795504,10.248412136347582,10.236680360833438,10.264316104841308,10.265717221066998,0.27631034169878294,-0.308245001094682,11.021330128612616,0.00799907966931884
Cyprus,10.122795037259934,10.09148762805514,10.165224158546115,10.132076884022366,10.182299965271808,10.233092435414225,10.225826275675294,10.232919203228109,10.277750831428762,10.322633062239309,10.379443420033343,10.425615703059607,10.426292354714962,10.409836725861233,0.3056587183049747,-0.33183561744434487,11.22018533243839,0.01648061887435803
North Macedonia,8.804752038483516,8.820596984806967,8.749798404936579,8.742593203385471,8.7787494882576,8.817635285679604,8.824234226732921,8.841588490434281,8.88653394188096,8.975384418295203,9.042291700889333,9.080017656486284,9.082962656025472,9.11899176120397,0.13162516589675644,-0.06885409621255724,9.96064571567949,0.0006577593184938694
