spec,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio
Baseline (full 10-donor pool),-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055
"Low-income 2004 entrants (EE, LV, LT, PL)",-0.6240504111026761,-0.7085813659325428,-0.5395194562728094,0.6332670148404095,0.638248089478898,1.0078656783343496
"High-income 2004 entrants (SI, CZ, MT, CY)",0.1959040502258252,1.0187017862275676,-0.6268936857759172,0.19910977232019508,1.0710048794740705,5.378966923591032
"Visegrad (PL, HU, CZ, SK)",-0.2698789125221593,-0.1538103106999209,-0.38594751434439767,0.15387665793433833,0.30173502772929156,1.9608888819124652
"Baltics only (EE, LV, LT)",-0.6487657855781327,-0.6607688245812952,-0.6367627465749702,0.5855159061159627,0.6528162135963054,1.1149418944513074
"Central European 5 (PL, HU, CZ, SK, SI)",-0.254168567774367,-0.13200057463511677,-0.3763365609136173,0.09760777989355736,0.2905828263752729,2.977045750780906
"Post-communist donors only (exclude MT, CY)",-0.33984163111178134,-0.18276538314595533,-0.4969178790776073,0.06216443480328894,0.3938053569753746,6.334898052584554
