spec,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio,pre_start,pre_len
Pre-period 1990-2003 (14 yrs),-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055,1990,14
Pre-period 1992-2003 (12 yrs),-0.3674704486119792,-0.2269949692719507,-0.5079459279520077,0.08579211208306117,0.4037560821292277,4.7062145030107665,1992,12
Pre-period 1995-2003 (9 yrs),-0.4973531204022864,-0.3392695088138467,-0.655436731990726,0.05801214944496801,0.5607409154113723,9.665922065916678,1995,9
Pre-period 1998-2003 (6 yrs),-0.3959837881588289,-0.3119653884248077,-0.4800021878928501,0.1253522836656355,0.44404548288581114,3.5423804808395625,1998,6
Pre-period 2000-2003 (4 yrs),-0.5785631431205749,-0.3989031278401452,-0.7582231584010046,0.005231215613444555,0.6293293851305694,120.30270431085904,2000,4
