spec,att_post_avg,att_2004_2008,att_2009_2013,pre_rmse,post_rmse,rmspe_ratio
Baseline (full 10-donor pool),-0.343068207174003,-0.23083243611749465,-0.45530397823051133,0.06549914361453196,0.3789752734673965,5.785957686679055
Structural predictors only,-0.48680847819109213,-0.4521048476088062,-0.5215121087733781,0.3487166859715667,0.49377615515784684,1.4159808664794087
Three outcome lags + structural,-0.3229000071531519,-0.26749654944467666,-0.37830346486162725,0.10899382572113173,0.3447053038736735,3.16261312595473
SCM only (no ridge augmentation),-0.5520010143652986,-0.5938933126950744,-0.5101087160355228,0.5622704280732354,0.5555346742951404,0.9880204374233644
